name,size,nice
rust-1.57-oz,5178304,4.9M
rust-1.57-default,5178232,4.9M
rust-1.57-lto,2698472,2.6M
go-1.16-default,1937379,1.8M
go-1.17-default,1766554,1.7M
go-1.18rc1-default,1758397,1.7M
rust-1.57-oz-upx,1409704,1.3M
rust-1.57-default-upx,1409564,1.3M
go-1.16-ldflags,1355776,1.3M
go-1.17-ldflags,1200128,1.1M
rust-1.57-abort,1186304,1.1M
rust-1.57-strip,1186304,1.1M
go-1.18rc1-ldflags,1179648,1.1M
rust-1.57-all,1075488,1.0M
go-1.16-default-upx,944420,922.3k
go-1.18rc1-default-upx,930772,909.0k
go-1.17-default-upx,909480,888.2k
rust-1.57-lto-upx,868940,848.6k
c-glibc,711216,694.5k
rust-1.57-strip-upx,484944,473.6k
rust-1.57-abort-upx,483724,472.4k
go-1.16-ldflags-upx,438668,428.4k
rust-1.57-all-upx,435392,425.2k
go-1.18rc1-ldflags-upx,423300,413.4k
tinygo-0.22-default,419192,409.4k
go-1.17-ldflags-upx,415484,405.7k
c-glibc-upx,280540,274.0k
tinygo-0.22-default-upx,144004,140.6k
tinygo-0.22-nodebug,118344,115.6k
tinygo-0.22-nodebug-upx,60876,59.4k
c-musl,17808,17.4k
asm-naive,456,456B
c-asm,408,408B
asm-opt,360,360B
asm-elf,114,114B
